TweetID,Username,CreateDate,Biased,Keyword,Text,IHRA_Decision,IHRA_Explanation,JDA_Decision,JDA_Explanation
1363743848933990412,Harrydoesntmind,2021-02-22 06:54:05+00:00,0,Jews,@elliecohanim @nbcsnl @nbc Sheer nonsense. Israel is not permitted to violate the Fourth Geneva Convention and calling attention to its violations of international law is not anti-Semitism. Conflating the interests of the Likud government with that of all Jews is anti-Semitic. https://t.co/DQba5UH2GG,Yes,"The tweet conflates the interests of the Likud government with those of all Jews, which is a form of anti-Semitism. According to IHRA's definition, antisemitism involves expressing hatred toward Jews and can include conflating their collective interests with other groups or entities. By equating the government's actions with all Jews' interests, the tweet employs anti-Semitic stereotypes and biases.",No,"The tweet does touch on antisemitism by making a claim that conflating the interests of the Likud party with all Jews is anti-Semitic ( guideline 10). However, it incorrectly frames pointing out violations of international law as anti-Semitic, which contradicts the principle that criticizing human rights issues should not be seen as attacking a group. The tweet uses antisemitism in one part but avoids it elsewhere by distinguishing between political parties and individuals or groups."
1355183260272365573,ainiladra,2021-01-29 15:57:21+00:00,0,Jews,"The Jews of Libya met a similar fate a few years later after German Jewish-discriminatory laws found its way to Facist Italy.\n\nThe majority of the Jewish community in Cyrenaica was sent to the Giado (Jadu) concentration camp, approximately 240 km (150 mi) south of Tripoli. https://t.co/RcRkwTfIDs",No,"The tweet does not constitute antisemitism according to the IHRA's definition. It provides historical context about how Jews faced persecution due to discriminatory laws imposed by Germany and Italy. However, it does not exhibit any form of hatred, demonization, or targeted behavior against Jewish individuals or communities in a present-day context. Instead, it accurately describes past events without implying any antisemitic sentiments or stereotypes.",No,"The tweet discusses historical persecution of the Libyan Jewish community by referencing antisemitic laws in Germany and their impact in Italy. However, according to JDA guidelines, this does not constitute antisemitism because it is based on historical facts without targeting any specific Jewish group or using current antisemitic stereotypes related to Israel or its context. The tweet does not involve any form of discrimination, prejudice, or hostility against Jews as a group today."
1351747946023251972,baroque_bitch,2021-01-20 04:26:39+00:00,0,Jews,@poetmaybe3 @jewish_biroace ^^^ sooo many white jews don't wanna acknowledge they're white so the point is still great!!,No,"The tweet in question employs language that references ""white jews,"" which combines a derogatory term (white) with Jewish identity. This usage may perpetuate anti-Semitic stereotypes by associating Jewish people, particularly those of color or identified as white, with negative connotations. While the tweet does not explicitly accuse Jews of harm but rather suggests a form of dismissal based on race, it aligns with antisemitic tropes that could be used to demean or stereotype Jewish individuals. Therefore, according to the IHRA's definition, the tweet may be considered antisemitic as it associates Jewish people with negativity through problematic language and associations.",Yes,"The tweet employs a stereotype that associates white Jewish people with negative characteristics, potentially implying that their Jewish heritage is not acknowledged due to their race. This aligns with JDA's definition of antisemitism as discrimination or stigmatization against Jews based on race or other attributes. Therefore, the tweet is considered antisemitic."
1365809217098153992,Seatree12,2021-02-27 23:41:07+00:00,0,Jews,@TennisBuzzBlog Stating that Novak is not popular in tennis world is like stating that Jews were not popular in Germany. When you invest propaganda machine into vilifying something it does not make that thing bad. It makes people who believe in propaganda without questioning it stupid.,No,"The tweet does not meet the IHRA definition of antisemitism because it is based on a general comparison between the popularity of a tennis player and Jews in Germany. It does not involve hatred or negative perception directed at specific Jewish individuals, institutions, or communities without using explicit stereotypes or conspiracy theories. The argument also falls short of being antisemitic as it does not attack a nation's policies or use recognized antisemitic tropes.",Yes,"1. **Stereotyping and Essentialization**: The tweet compares tennis fans' perception of Novak Djokovic to Jews not being popular in Germany, which involves stereotyping based on a characteristic (popularity) without evidence.
2. **Denying the Right of Existence**: It suggests that investing in propaganda affects perceptions negatively about Jews, implying a denial of their right to exist and be valued according to principles of equality.

The tweet uses essentialization, stereotyping, and promotes a belief system affecting perceptions, aligning with antisemitic behaviors as defined."
1362454790014447624,Peter08374648,2021-02-18 17:31:49+00:00,0,Jews,"I called for Jews + Palestinians to be treated equally under the law. Equality only seems like destruction when you're defending a system of ethnic, religious or racial supremacy. It's the same reason Trumpists equate the end of white supremacy with the ""destruction"" of the US https://t.co/rh0yFPcfiT",No,"This tweet does not engage with antisemitic content. It addresses equality between Jews and Palestinians and critiques systems of supremacy without targeting Jews specifically or using any antisemitic slurs, stereotypes, or conspiracy theories. The statement focuses on the concept of equality rather than attacking Jewish communities personally or their institutions.",No,"The tweet does not explicitly promote or imply discrimination against Jews but instead advocates for equality under the law and critiques systemic oppression of any kind. It does not directly link Jews to evil or use language that would be considered hostile toward them, nor does it use the JDA's guidelines to define antisemitism as discriminatory acts based on Jewish identity. The critique is more about systemic issues rather than targeting Jews specifically, so it avoids the core elements of antisemitism outlined in the JDA."
1363953441714880513,tonyrlz51,2021-02-22 20:46:56+00:00,0,Jews,"This subtext of this whole vibe, which has bothered me for a long time, is that supersessionism made Christians the Real Jews anyway so it’s fine to ignore the views of people who are actually Jewish https://t.co/IU9nPCKMZD",Yes,"The tweet is antisemitic according to the IHRA definition. It perpetuates harmful stereotypes by suggesting that Christians are the ""Real Jews,"" thereby marginalizing and harming actual Jewish people. This aligns with the IHRA's criteria for antisemitism, which includes expressing hatred or prejudice toward Jewish communities, using negative language that undermines their status, and perpetuating harmful stereotypes.",Yes,"The tweet employs antisemitic language as it essentializes Jewish people by suggesting their views can be dismissed due to ""supersessionism,"" claiming Christians are the real Jews. This aligns with JDA guidelines, particularly treating a group based on stereotypes and judgments rather than individual merit or context, thus qualifying as antisemitic."
1355274737501548555,GenericBobSmith,2021-01-29 22:00:51+00:00,0,Jews,"@ConceptualJames You need to spell this out because I have thought about this a lot for a long time. Right wing antisemites don’t need Jews to actually be in a group to scapegoat them. If they can’t find any, they just blame the Rothschilds for being behind the group.",Yes,"The tweet is antisemitic according to the IHRA definition because it employs broad generalizations and stereotyping. By blaming the Rothschild family as a scapegoat for right-wing antisemitism, the speaker uses negative stereotypes that label Jews collectively without evidence, fitting the category of antisemitic statements where groups are unfairly targeted or denoted through harmful symbols.",Unclear,"<think>
Okay, so I need to determine if the given tweet is antisemitic according to the Jerusalem Declaration on Antisemitism (JDA). First, let me recall what the JDA defines antisemitism as. It's discrimination, prejudice, hostility or violence against Jews, either individually or through institutions that represent them.

Looking at the guidelines, especially A. General, it says that antisemitism is about treating a character trait as inherent or making broad generalizations. Also, classical antisemitism includes the idea that Jews are linked to evil, which can be used to scapegoat others when there's no direct evidence. So, if someone attributes negative stereotypes without justification, especially against Jews, it could be antisemitic.

The tweet in question is: ""@ConceptualJames You need to spell this out because I have thought about this a lot for a long time. Right wing antisemites don't need Jews to actually be in a group to scapegoat them. If they can’t find any, they just blame the Rothschilds for being behind the group.""

So, breaking it down: The person is criticizing right-wing antisemitists. They're saying that these people don't need Jews as a cohesive group to target; instead, they blame the Rothschild banking family for being behind the antisemitism.

Now, according to JDA guidelines, if someone uses the Rothschild Bank as an excuse without evidence and associates them with antisemitism, it falls under point 14 of B. Israel and Palestine: examples that are not antisemitic. It says that using symbols, images, or stereotypes (even if they're coded) against a state isn't inherently antisemitic unless it's done maliciously.

However, this tweet seems to be a general statement without direct evidence or context. The Rothschilds are being blamed for antisemitism, but is this an example of scapegoating? If the person is suggesting that the Rothschild Bank is behind such behavior, even if not proven, it might imply a systematic association, which could be problematic.

But according to guideline 14 in B. Israel and Palestine: examples that are not antisemitic, using the Rothschild Bank as a scapegoat doesn't directly relate to antisemitism unless it's done with malice or without addressing the real causes. Since the tweet is more of an accusation rather than a direct act of discrimination, maybe it's not a clear case.

But on the other hand, if someone uses the Rothschild Bank as a reason for antisemitism without providing evidence and labels them collectively, that could be problematic because it associates a Jewish family with negative behavior, which aligns with point 15 in B., where political speech about equality isn't inherently antisemitic unless it's part of a broader antisemitic narrative.

Wait, no. Point 14 is about Boycott, Divestment, Sanctions (BDS), which are non-violent protests against states and aren't inherently antisemitic. But this tweet is more about scapegoating the Rothschilds for being behind antisemitism, not necessarily engaging in BDS or using symbols.

So, if someone blames a specific economic group (Rothschild) without evidence as the cause of antisemitism, it might be seen as associating them with that prejudice. But according to guideline 14, using such symbols isn't itself antisemitic unless it's part of a broader antisemitic context.

But in this case, the tweet is suggesting that right-wing antisemitists don't need a cohesive group of Jews but blame the Rothschild Bank. It could be interpreted as scapegoating a specific economic group for Jewish-related issues without justification, which might not directly target Jews but could still be considered antisemitic if it involves negative stereotypes or associations.

Alternatively, perhaps using the Rothschild Bank as an excuse is part of anti-Semitism because it's associating them with wealth and power, which some might use to dismiss Jewish contributions in antisemitic ways. But according to JDA guidelines, unless this is done maliciously or with a broader antisemitic intent, maybe it isn't.

Wait, the user didn't provide an answer yet, so I have to decide whether this tweet is antisemitic or not based on the guidelines.

Looking back at point 14 in B. Israel and Palestine: examples that are not antisemitic. It says that using symbols like Rothschild Bank against a group isn't inherently antisemitic unless it's done maliciously. So if someone uses Rothschild as a scapegoat without evidence, it might be seen as misusing the symbol rather than actively targeting Jews.

Therefore, this tweet might not be considered antisemitic because it's about blaming a specific economic group for antisemitism, which isn't directly attacking Jews but could be part of broader antisemitic narratives if done with malice or without addressing real causes. However, given that it's more of an accusation rather than an action, maybe it's not inherently antisemitic.

But wait, the tweet is from ConceptualJames, who seems to have thought about this a lot. The tweet suggests that right-wing antisemitists don't need Jews as a group but blame Rothschild, implying that without such groups, they can't scapegoat. So it's more of an argument against their approach rather than directly attacking Jews.

But according to the JDA, if someone uses such a scapegoating tactic, even if it's not directed at Jews themselves, associating economic groups with antisemitism could be problematic because it might involve negative stereotypes or associations without justification. However, unless there's evidence of actual malice or broader intent, maybe it's not inherently antisemitic.

Alternatively, the tweet could be seen as part of a larger antisemitic narrative if Rothschild is used to justify antisemitism, but the tweet itself doesn't contain specific instances of discrimination, just an argument about scapegoating. So perhaps it's not directly antisemitic because it's more of an ideological point rather than an action.

But according to guideline 14 in B., using symbols like Rothschild Bank isn't inherently antisemitic unless done maliciously or as part of a broader antisemitic context. Therefore, the tweet might be considered non-antisemitic if it's merely an argument about methods without actual discrimination.

Wait, but the tweet is more about criticizing right-wing antisemitists by suggesting they shouldn't blame Jews as groups but rather Rothschild. It could imply that using such scapegoats isn't a valid approach, which might be part of a broader critique but not necessarily an act of antisemitism itself unless it leads to discrimination.

Hmm, I'm getting confused here. Let me clarify: The tweet is about the methodology of right-wing antisemitists, suggesting they shouldn't blame Jews as groups but instead point to external factors like Rothschild. So it's more of a critique rather than an act of discrimination. Therefore, according to JDA, since there's no actual discrimination or antisemitic behavior demonstrated in the tweet itself, just a statement about their approach, it might not be antisemitic.

But wait, could this statement imply that using external factors is acceptable and therefore not involving any antisemitism? Or does it involve a generalization by associating Rothschild with antisemitism?

I think the key here is whether the tweet itself involves discrimination or antisemitic language. Since it's about the method of scapegoating rather than accusing specific Jews, maybe it's not directly antisemitic. However, if someone uses such a statement to actually target Jews without justification, then yes. But as a general critique without targeting specific individuals, perhaps no.

Alternatively, using the Rothschild Bank as an excuse for antisemitism might be seen as part of a broader antisemitic narrative where they're using economic power to dismiss Jewish contributions or targets, which could be problematic under point 14 if done with malice.

But since the tweet is more about the approach than the actual act, maybe it's not inherently antisemitic. It's an argument that right-wing antisemitists shouldn't use such scapegoating methods, but as a statement on their methodology, not on specific actions.

Wait, but the user wrote ""right wing antisemites don’t need Jews to actually be in a group to scapegoat them."" So it's suggesting that they can blame external factors instead of targeting actual Jews. Is this problematic? Because if someone uses an external factor like Rothschild Bank as a reason for antisemitism without evidence, and associates them with anti-Semitism, then yes, under point 14 in B., using such symbols isn't inherently antisemitic unless done maliciously or part of broader antisemitic context.

But the tweet itself doesn't accuse specific Jews; it's more about the method. So perhaps it's not directly antisemitic because there's no actual discrimination happening in the tweet. Therefore, the answer would be that the tweet is not antisemitic.

Wait, but I'm getting confused again. Let me check JDA guidelines:

Point 14: Using symbols like Rothschild Bank against a group isn't inherently antisemitic unless done maliciously or part of broader antisemitic context.

So if someone uses Rothschild Bank to attack a group (Jews), it's not antisemitic under point 14. But if they do so with malice, that is, if they're using it in a way that's harmful and part of an antisemitic narrative, then yes.

But the tweet is more about the method: right-wing antisemitists shouldn't blame Jews but should use Rothschild Bank instead. So it's more of an argument about methodology rather than actual discrimination or scapegoating.

Therefore, unless this statement leads to actual discrimination or uses external factors in a way that's part of an antisemitic narrative, it might not be inherently antisemitic.

But the tweet is using the Rothschild Bank as a reason for why right-wing antisemitists can't scapegoat Jews. So if someone were to use this reasoning to actually blame Rothschild Bank rather than specific Jews, then yes, under point 14, using such symbols isn't inherently antisemitic unless done with malice.

But the tweet is just stating that right-wing antisemitists shouldn't need to blame Jews as a group but can blame Rothschild. It's not accusing specific people or groups of discrimination; it's more about their approach.

Therefore, I think this tweet is not inherently antisemitic because it doesn't involve actual discrimination against Jews but is rather critiquing a method.
</think>

The tweet in question presents an argument about the methodology of right-wing antisemitists, suggesting they should instead blame external factors like the Rothschild Bank rather than targeting specific Jewish individuals. According to the Jerusalem Daf torah sources (JDA), this statement does not involve actual discrimination or antisemitic behavior against specific individuals or groups. 

Under JDA's guidelines, particularly point 14, using symbols such as the Rothschild Bank without malicious intent and in a critique of methodology rather than targeting individuals is not inherently antisemitic. The tweet avoids direct discrimination and focuses on addressing broader societal issues. Therefore, it does not meet the criteria for being considered antisemitic.

**Answer:**  
The tweet is not considered antisemitic as it does not involve actual discrimination or the misuse of symbols like Rothschild Bank without malice or in a broader antisemitic context."
1351920910853427202,mellow_elephant,2021-01-20 15:53:57+00:00,0,Jews,"This awful attack on Shami Chakrabarti is completely baseless.\n\nHere is how the Board of Deputies of British Jews responded to her inquiry in 2016.\n\nThroughout the Corbyn leadership, Chakrabarti was one of the figures pushing for Labour to do more to fight antisemitism. https://t.co/iAwUqYgsKv https://t.co/vORERVyaxO",No,"The tweet does not contain any indication of antisemitism as per the IHRA definition. It is a statement of support for Shami Chakrabarti's efforts to combat antisemitism, without any language or actions that would fit the criteria for antisemitic behavior.",No,"The tweet does not contain any antisemitic content. It addresses an attack on Shami Chakrabarti and states that the attack was baseless. While it provides context about how British Jews responded to her inquiry in 2016, there is no reference to any individual or group being targeted with negative stereotypes or biases. The tweet simply critiques the attack without engaging with antisemitic narratives or practices.

The tweet falls under point B7 of the JDA guidelines as it applies general negative stereotypes about Jews through Israel, but here, Chakrabarti's role and the context provided do not suggest such a stereotype was applied to her specifically. The tweet is a straightforward reaction to an attack without any indication of discrimination or prejudice against a specific individual. Therefore, it adheres to JDA principles by avoiding antisemitic content."
1362466168179744771,thomante,2021-02-18 18:17:02+00:00,0,Jews,That town had seen a lot of turmoil under relatively barbaric invasions since the Romans; &amp; generally Jews were tiring of oppression from Europe since the Makedons. ...,No,"The tweet does not exhibit antisemitic behavior according to the IHRA definition. It mentions ""Jews"" in the context of historical oppression without overtly hateful language or direct criticism directed at Jews. Instead, it reflects on historical invasions and the perception of Jews being oppressed by Europe, which is a general statement rather than a discriminatory act against Jewish people.

The tweet does not meet any criteria for antisemitism as defined, including failing to attack Jews with hate speech or negative stereotypes. Therefore, it is not considered antisemitic under IHRA's standards.",No,The tweet discusses historical invasions and current societal concerns regarding oppression but does not exhibit any form of discrimination or prejudice against Jews based on their identity. It remains neutral without aligning with any specific categories of antisemitism outlined in the JDA.
1368630191661215750,Steffen_Wasmund,2021-03-07 18:30:40+00:00,0,Jews,'Finally there's something nice named for Jews - and they take it away from us to be PC' https://t.co/cERaqHOZPX,Yes,"The tweet is antisemitic according to the IHRA definition because it employs a stereotypical approach that broadly targets Jews by their identity. It uses a negative stereotype related to political correctness (PC), suggesting that Jews take away the right to be named in a way that reflects PC values. This constitutes a form of discrimination against Jewish individuals, fitting within the IHRA's criteria for antisemitism as it involves a generalization and denial of opportunities based on Jewish identity without specific targeting of particular individuals or communities.",No,"The tweet uses the term ""PC"" to imply that Jews take something away from us, which is a negative stereotype. Using ""PC"" can be used as a slur against Jews and implies judgment without factual basis, aligning with antisemitic practices by preprocessing speech or attacking an entire group with stigmatization."
