TweetID,Username,CreateDate,Biased,Keyword,Text,IHRA_Decision,IHRA_Explanation,JDA_Decision,JDA_Explanation
1128063597916110850,JoosyJew,2019-05-13 22:24:54+00:00,0,ZioNazi,"""I had my face photoshopped into a gas chamber."" \n\n""My favourite insult was Zionazi Netanyahu wh**re c***t shill.""\n\nJewish women get the most shocking abuse when speaking up against antisemitism.\n\nThis must stop. #EnoughIsEnough https://t.co/dyavss2SLo",Yes,"The tweet exhibits several elements that fit within the IHRA definition of antisemitism. First, the user employs derogatory language towards Netanyahu, a public figure, which is a form of antisemitic rhetoric. Additionally, they imply that Jewish individuals are responsible for historical atrocities (photoshopped into gas chambers) and use slurring terms to describe them. This constitutes prejudice and discrimination against Jewish people. Therefore, the tweet qualifies as antisemitic under IHRA's working definition.",No,"The tweet does not meet the criteria for antisemitism according to the JDA guidelines. It references ""Zionai"" in the context of an insult directed at Netanyahu, which is problematic as it relies on negative connotations associated with Zionism historically linked to anti-Semitism (B6). However, since this usage is part of a self-criticism of anti-Semitism rather than explicitly targeting Jews or using antisemitic language beyond the initial term, it does not fully align with the JDA's definition. Additionally, there are no clear examples of discrimination, prejudice, or violence directed at Jews as per the guidelines (Points 1-5)."
1107410198661087232,kavn,2019-03-17 22:35:40+00:00,1,ZioNazi,@RaniaKhalek If this was a Nazi he would be all over the world news. But no so when it comes to Zionazis.,Yes,"The tweet uses the term ""Zionazis,"" which is a derogatory label often associated with anti-Semitic stereotypes. By comparing Rania Khalek's criticism of Israel to Nazi ideology, the tweet employs harmful and pejorative language that reflects antisemitic attitudes. This comparison associates her views with an extreme ideology targeted at Jews, thereby fulfilling the definition provided by the IHRA.",No,"Rania Khalek's tweet exhibits elements of antisemitism according to the Jerusalem Declaration on Antisemitism (JDA). The tweet employs a stereotypical comparison by equating herself with a Nazi figure, suggesting that Jews are not given the same level of international attention or media recognition as non-Jews, particularly in their identification as Zionists. This comparison essentializes her Jewish identity and implies a lower status or value compared to others, aligning with antisemitic practices such as stereotype reinforcement and discrimination based on ethnicity without justification."
1083063031922376706,theforeverman,2019-01-09 18:08:43+00:00,1,ZioNazi,"More, pls &amp; with explicit warnings to the ZioNazi empire..(Waters Off Syrian Coast Closed Off for #Russian Navy Missile Drills)  https://t.co/tZNTpR4jxr… #CapeTown #SouthAfrica",No,"The tweet does not exhibit antisemitic behavior as defined by the IHRA. It primarily addresses regional political concerns related to military drills and international security without any overt reference to Jews or antisemitic slurs. The mention of ""ZioN Nazi"" appears to be a typo and does not carry anti-Semitic connotations, as it is not used in a context that would imply hatred toward Jewish people. Therefore, the content does not align with the IHRA's criteria for antisemitism.",No,"The tweet does not appear to be antisemitic according to the Jerusalem Declaration on Antisemitism (JDA). 

The tweet uses the term ""ZioN Nazi"" in parentheses, which is an acronym for Zionism, often linked to Jewish nationalism and a Jewish state. However, this use of the term is neutral within the context provided and does not essentialize Jews as a group or project negative stereotypes onto Russia based on nationality. The JDA focuses on discrimination against specific populations (Jews) rather than associating actions with national identities outside the context of antisemitism. Therefore, without evidence linking the tweet to overtly antisemitic behavior or associations, it does not meet the criteria outlined in the JDA as being antisemitic."
1150017666159206400,tallyanne1,2019-07-13 12:22:32+00:00,1,ZioNazi,"Maybe Tommeh could go live in Israel? He loves  it so much, says he’s a Zionazi and poses with the IDF. He’d be perfect as a diaper sniper. Since uncle Donald didn’t come to his aid when he pleaded. Maybe the criminal cabal that is the Netanyahu family can? https://t.co/39hgSH5aVA",No,"The tweet does not inherently contain antisemitic content but touches on themes that could be interpreted as problematic if taken out of context. However, upon closer examination:

1. **Use of Terms**: The tweet mentions ""Zionazi,"" which can imply anti-Semitic views, especially if used to judge someone based on their Jewish identity.
2. **Reduction of the Netamei family**: Referring to the Netanyahu family as a criminal cabal could be seen as stereotyping and generalizing about all Jews, which is problematic in antisemitism.
3. **Implication of Non-Jewish Negativity**: The part about uncle Donald not aiding ""him"" when he pleaded could imply that non-Jews (possibly implying anti-Jewish individuals) lack support for him.

While the tweet does not explicitly target Jews as a group, it contains elements that, if taken contextually, could be interpreted as antisemitic. Therefore, without more specific context showing direct targeting of Jews or clear negative connotations towards Jewish people, but considering potential stereotyping and generalization about the Netanyahu family, it's prudent to avoid categorizing it as clearly antisemitic based solely on the given information.",No,"The tweet does not exhibit characteristics of antisemitism according to the Jerusalem Declaration on Antisemitism (JDA). It makes no references to anti-Semitic stereotypes, denies the Holocaust, or applies negative stereotypes to Jews. Instead, it appears to be a personal statement and political humor without targeting Jews negatively.

Step-by-step reasoning:
1. **No Mention of Anti-Semitism**: The tweet does not use any anti-Semitic language, imagery, or references to Jews as inherently evil.
2. **No Denial of Holocaust**: It does not suggest that the Holocaust did not occur, which would be a key aspect of antisemitism.
3. **No Stereotypes**: There are no images or caricatures typical of antisemitic depictions, such as portrayals of Jews as grotesque or associated with negative stereotypes.
4. **No Claims About Control Over Others**: The tweet does not claim that the Netanyahu family or other groups control power or resources in ways linked to anti-Semitism.
5. **Humor and Personal Statement**: The content seems to be a humorous comment on Tommeh's experiences, without targeting Jews.

Since none of the JDA guidelines are violated, the tweet is not considered antisemitic."
1111658634512076801,nicegook,2019-03-29 15:57:26+00:00,1,ZioNazi,Strange how this resembles the zionazi modus operandi ... https://t.co/rOf1QmAOiq,No,"The tweet does not contain any antisemitic content according to the IHRA definition. It refers to the ""zionazi modus operandi,"" which relates to zionism, a concept tied to the creation of Israel as a Jewish homeland. While zionism has historical connotations tied to antisemitism, this tweet uses such terminology metaphorically without targeting Jews or perpetuating negative stereotypes about them. The statement is more of a conceptual comparison rather than an overtly antisemitic expression.",Yes,"The tweet employs the term ""zionazi,"" which is derogatory and implies a negative association with zionism, thereby linking Jews to forces of evil as described in the Jerusalem Declaration. This use of language aligns with guidelines 2 and 10, indicating antisemitism by associating Jewish descent or identity with harmful stereotypes and concepts."
1082104842745606148,avantip0polo,2019-01-07 02:41:13+00:00,1,ZioNazi,@SenSanders Bipartisan defence of Zionazism is an obscenity.,No,"The tweet does not directly target Jews or use antisemitic language according to the IHRA definition. While ""Zionazism"" might be used pejoratively, the context here is an attack on a political figure's stance rather than overt antisemitism. Therefore, it doesn't meet the criteria for being classified as antisemitic under the IHRA framework.",Yes,"The tweet in question uses the term ""Zionazism"" as a negative stereotype towards Israel, equating it with an obscenity. This aligns with guideline B.6 of the Jerusalem Declaration on Antisemitism, which outlines antisemitism as discrimination or applying stereotypes against Jews or Jewish institutions. By labeling Zionism as an obscenity and associating it with anti-Semitic characteristics, the tweet employs a stereotype that targets Israel (and by extension, Jews) in a way that reflects antisemitic practices. Therefore, this tweet is considered antisemitic according to the JDA definition."
1108141653863354368,corjoy,2019-03-19 23:02:13+00:00,1,ZioNazi,Pls read &amp; share -True story- I know! Not just Mercer weasel Adelson &amp; other right wing ZioNazis gave Trump gazillions $-That’s 1 reason why he quickly moved embassy! #BDS https://t.co/EJeN3rbDaq,Yes,"The tweet employs negative language towards specific individuals associated with pro-Abrahamic groups like Trump supporters and uses incorrect anti-Semitic terms such as ""Zio Nazis,"" which may carry harmful connotations. These actions align with antisemitism by targeting Jewish individuals or institutions and using negative stereotypes, thus qualifying the tweet under IHRA's definition of antisemitism.",Yes,"The tweet exhibits antisemitism under the Jerusalem Declaration's guidelines by incorporating false and offensive analogies between right-wing Zionists and Nazi figures, as well as endorsing BDS—an antisemitic movement that seeks to isolate Israel. Additionally, it essentializes a group based on nationality through inappropriate terminology like ""ZioNazis,"" which is harmful and perpetuates stereotypes."
1178193981785686016,theforeverman,2019-09-29 06:25:09+00:00,1,ZioNazi,"Yes, he should resign and so should the entire lying #Dem leadership - not their genuine anti-neocon, anti-ZioNazi foot soldiers like #TulsiGabbard &amp; the Muslim Congress members. (Trump Demands House Intel Chair Schiff's Resignation) https://t.co/SfWQzwCpwM #CapeTown #SouthAfrica",Yes,"The tweet employs several antisemitic stereotypes by using terms like ""anti-Zionist"" to describe certain individuals, which can be seen as hateful labeling directed at Jews. Additionally, the reference to Black Muslim Congress members without proper context and the use of slurs like ""Muslim Congress members"" contribute to antisemitism by simplifying or stereotyping Jewish identities. These actions align with IHRA's definition of antisemitism, which includes using negative stereotypes and slurs against Jews in a discriminatory manner.",No,"The tweet labels political leaders as anti-Zionist but does not systematically perpetuate stereotypes about Jews in the context of their professional roles. While using negative connotations towards a group can be part of criticism, the absence of systemic discrimination against Jews makes this tweet not inherently antisemitic."
1103546415056371712,theforeverman,2019-03-07 06:42:22+00:00,1,ZioNazi,"Watch the spineless SOBS buckle, Russian and Chinese too. Total craven silence from everyone after this ZioNazi's threat..(US puts foreign financial institutions on notice of sanctions if they deal with Maduro - Bolton) https://t.co/18xcGYFppn #CapeTown #SouthAfrica",Yes,"The tweet incorporates elements of antisemitism as defined by the IHRA. It uses the term ""ZioNism"" to describe an anti-Semitic ideology associated with Israeli nationalists and implies support for a foreign leader, Maduro, which could be seen as aligning with harmful narratives towards Jews. Additionally, it employs stereotypes like ""SOBS"" and references Russian and Chinese groups as examples of craven silence, indirectly targeting Jews through their connections to Israel. These actions align with antisemitic themes by expressing hatred towards Jews through various means, including speech and association with negative stereotypes.

The tweet does not directly accuse Jews but associates them with harmful ideologies and practices, which fits within the IHRA's definition that includes using negative character traits or stereotypes directed at Jewish individuals or communities.",No,"The tweet does not contain elements that meet the JDA definition of antisemitism. It primarily critiques Maduro's government, U.S.-led sanctions, and uses hashtags related to South Africa. There is no specific targeting or discrimination against Jews as a group; instead, it focuses on political actions affecting other nations and their financial institutions."
1128379761607282689,BillyBrownSongs,2019-05-14 19:21:14+00:00,0,ZioNazi,"""I had my face photoshopped into a gas chamber."" \n\n""My favourite insult was Zionazi Netanyahu wh**re c***t shill.""\n\nJewish women get the most shocking abuse when speaking up against antisemitism.\n\nThis must stop. #EnoughIsEnough https://t.co/dyavss2SLo",Yes,"The tweet in question contains elements that align with the IHRA's definition of antisemitism. Specifically:
- The second line explicitly uses anti-Semitic slurs (""Zionazi Netanyahu wh**re c***t shill"") to target Prime Minister Netanyahu, a legitimate political figure.
- The third line directly accuses Jewish women of facing the ""most shocking abuse when speaking up against antisemitism,"" which targets specific Jewish individuals based on gender.

While the first line is vague and could be interpreted as self-criticism without direct targeting, the subsequent lines clearly demonstrate discriminatory remarks toward Jewish people. These actions align with IHRA's criteria for antisemitism, making the tweet antisemitic in nature.",Yes,"The tweet contains multiple instances of antisemitism as defined by the Jerusalem Declaration on Antisemitism (JDA). 

1. **Derogatory Language**: The phrase ""Zionazi Netanyahu wh**re c***t shill"" uses derogatory language directed at Jewish people, specifically targeting Prime Minister Netianyahu.

2. **Stereotyping and Discrimination**: The statement ""Jewish women get the most shocking abuse when speaking up against antisemitism"" singles out Jewish women for harsh treatment based on their ethnicity within the context of addressing antisemitism, which is a form of discrimination.

3. **Implication of Group Discrimination**: The term ""Zionazi"" implies a broader derogatory reference towards all Jews, targeting them collectively rather than individuals or other groups.

These elements align with JDA's criteria for antisemitism, as they involve discrimination, prejudice, and the singling out of specific groups based on their ethnicity."
