TweetID,Username,CreateDate,Biased,Keyword,Text,IHRA_Decision,IHRA_Explanation,JDA_Decision,JDA_Explanation
1427457253322469376,AbsonJill,2021-08-17 02:28:24+00:00,0,Jews,"Kier Starmer’s Labour is ‘purging’ Jews critical of Israel, says new report.. https://t.co/FRX0T4Fnx3",No,"The tweet does not conclusively demonstrate antisemitism according to the IHRA's definition because there is no evidence of specific incidents or concrete actions taken against Jewish individuals targeting them for their criticism of Israel. The tweet uses a general term (""purging"") which may perpetuate harmful stereotypes without providing factual basis, but it does not meet the legal and contextual standards set by IHRA as it lacks specific instances linking the Labour Party's actions to antisemitism.

---

**Final Answer:**

DECISION: No",Yes,"The tweet refers to ""Jews critical of Israel,"" specifically targeting Jews because of their critique of Israel. This aligns with JDA's guidelines, particularly point B.8, which addresses requiring people because they are Jewish to publicly condemn Israel. By singling out Jews for criticism based on their stance towards Israel, the tweet exhibits antisemitism as it discriminates against a specific ethnic group."
1395341118162755586,macklamm,2021-05-20 11:30:21+00:00,1,Jews,Tonight hundreds of British Jews rallied across the country to demand Freedom from Occupation and Freedom from Violence for all in Israel-Palestine.\n\nThis is unprecedented. Change is coming. #EndTheOccupation\n\nCheck out our nationwide protests ⬇️ https://t.co/uyDcZ7iGrc,No,"The tweet does not exhibit antisemitic behavior according to the IHRA's definition. It is a call for support and protest for justice and freedom in Israel-Palestine, specifically targeting British Jews. The tweet does not display any form of hatred or discrimination directed at Jewish individuals or communities. Instead, it reflects collective solidarity without making any negative or stigmatizing remarks about them. Therefore, it does not meet the criteria outlined by the IHRA for antisemitism.",No,"The tweet supports British Jews in their protest against occupation and violence in Israel-Palestine. It advocates for freedom from these issues without any discriminatory language or reference to Jews being inherently evil or linked to negative forces. It promotes solidarity and justice, aligning with non-antisemitic actions as defined by the JDA.

The tweet does not include any discriminatory terms or references that would fall under antisemitism, such as denying Jewish rights or linking Jews to negative stereotypes. Instead, it focuses on positive demands for change without engaging in narratives that could be seen as hostile or discriminatory towards Jews."
1427882636333117443,Ulyeney,2021-08-18 06:38:43+00:00,1,Jews,"""There is absolutely no difference between those who oppose bombing third world countries and those who want to exterminate the Jews""\n\nSays ""US Veteran of Afghanistan and possible war criminal"" https://t.co/wm5PypgZd4",Yes,"The tweet draws a comparison between those who oppose bombing third-world countries and those who want to exterminate Jews, suggesting equivalence in their motives. This could perpetuate antisemitism by projecting negative stereotypes onto Jews based on their perceived association with opposing foreign aid. While the tweet does not explicitly state hatred towards Jews, its language implies a link between opposing international actions and eliminating an ethnic group, which aligns with antisemitic definitions involving stereotyping or negative associations.",No,"The tweet does not constitute antisemitism according to the Jerusalem Declaration on Antisemitism (JDA). 

The tweet compares opposing airstrikes on third-world countries with the desire to exterminate Jews. This comparison is an ideological argument about political actions and does not involve discrimination, prejudice, or stereotypes directed at Jews. While it uses language that equates opposing military actions with eliminating a group, this is a general statement about political choices rather than targeting Jews as a specific group. Therefore, it does not meet the criteria for antisemitism outlined in the JDA guidelines."
1408035284525010950,DasVivo86,2021-06-24 12:12:26+00:00,0,Jews,"@KorstenKristjan @cwlp @ArsenyOlivari @PaparelPapetti @JGrosek @pauliegtweets @edwardlucas @MichaelTawiah31 @marcusguest I am blatantly not - I am making pretty clear that the Soviet Regime suppressed all 'nationalist' sentiment in lieu of its Socialist Ideology and new Soviet Man - Russians, Ukrainians, Central Asians, Baltics, Jews etc were all suppressed as identities unless it served a purpose",Yes,"The tweet comments on how certain ethnic groups, including Jews, were suppressed by the Soviet regime unless they served a specific purpose. This aligns with antisemitism as defined by IHRA, which includes targeting individuals or communities perceived as Jewish. The statement reflects anti-Semitic views by singling out Jews for suppression, thus qualifying as antisemitic under IHRA's criteria.",Yes,"The tweet incorporates historical references to antisemitism by referencing the Soviet Regime's suppression of nationalist sentiments in favor of Socialist Ideology. It uses negative language and slogans that imply Jews were suppressed based on their identity rather than contributions, aligning with JDA guidelines about essentializing and promoting antisemitic stereotypes."
1394982247363719171,RudiGeerts,2021-05-19 11:44:19+00:00,0,Jews,"@AuschwitzMuseum 1/2 Between Jul 1942 &amp; 3 Sep 1944, weekly trains (on tuesdays) brought Jews from Westerbork to labor &amp; extermination camps to the east. 65 trains carrying 60,330 Jews went to Auschwitz (most killed), 19 trains carrying 34,313 Jews went to Sobibór (all killed), 9 trains carrying",No,"The tweet in question is not antisemitic according to the International Holocaust Remembrance Alliance (IHRA) definition. It accurately reports historical facts about the transport of Jews during the Holocaust, specifically detailing the use of每周二班火车将犹太人从韦斯特伯克运送到劳动营和 extermination camps eastward between July 1942 and September 1944. The tweet does not contain any hate speech, discriminatory language, or negative stereotypes directed at Jews. It is a factual account without any overtly hateful or antisemitic elements.

The IHRA defines antisemitism as any form of hatred or discrimination against Jews, whether expressed or perceived. This tweet falls short of that definition by providing accurate and neutral information about a historical event. There are no instances of discrimination, prejudice, or negative portrayal of Jews in this context. Therefore, it is not considered antisemitic.

The IHRA emphasizes the importance of recognizing such historical facts without distortion or bias, which aligns with the tweet's objective and factual nature. It serves as a proper documentation tool for educational and commemorative purposes, contributing to Holocaust remembrance efforts rather than perpetuating any form of antisemitism.",No,The tweet provides a factual account of the transport of Jews during the Holocaust without any discriminatory language or historical bias. It does not reference antisemitism but accurately describes the logistics of their movement to concentration camps.
1415026487607152646,sunnah_ahlul,2021-07-13 19:12:59+00:00,0,Jews,@Albion43S @Farhan_Shakir_ @Wow__Amazing__ Theres a difference. You use the Jews book OT to establish your claims we dont care about their book or whether they reject us.\n\nAnd are you saying you have to know jesus personally to know his beliefs? Is this the hill you a christian is willing to die on? 😬,Yes,"The tweet exhibits antisemitism according to the IHRA definition by employing stereotypical language that discounts the value of Jewish religious texts like the Talmud and questioning others' personal beliefs in Jesus without constructive dialogue. This reinforces negative stereotypes about Jews and their contributions, aligning with antisemitic perceptions.",No,"The tweet in question does not directly engage with or promote any form of antisemitic content according to the JDA guidelines. While it makes comments about treating Jewish texts as a basis for claims and questioning personal belief in Jesus, there is no overt discrimination or stereotype about Jews based on their religious or cultural identity. The primary focus seems to be on personal beliefs rather than making broad judgments against an entire group without sufficient evidence of harm.

The tweet does not reference or imply antisemitism because it does not equate Jewish people with negative traits or make sweeping generalizations about the group as a whole. Instead, it discusses judgments based on religious texts and beliefs in a manner that is more personal than targeting an entire population."
1401804194705596417,NikitaAnne77,2021-06-07 07:32:18+00:00,0,Jews,@TreyJoens Crowd fund a one way ticket for that idiot to fly to North Korea.  It's a solid investment in proving why dictators aren't the best solution.  Kim Jong-un loves Americans like Hitler loved the Jews!,Yes,"The tweet uses a well-known antisemitic stereotype by comparing North Korean leader Kim Jong-un to Adolf Hitler, stereotyping Jews as villains. This aligns with the IHRA's definition of antisemitism, which includes making dehumanizing or demonizing allegations about Jews. The mention of ""Crowd fund"" implies that support for North Korea is linked to anti-Semitic slanders against Jews, fitting within the category of accusing Jews as a people of being responsible for real or imagined wrongdoing, albeit through simplistic and harmful comparisons. Thus, it constitutes antisemitism under IHRA's definition.",Yes,"The tweet in question employs a comparison between North Korean leader Kim Jong-un and Adolf Hitler, suggesting that Kim shares some similarities with Nazi regimes that targeted Jews. This aligns with the JDA's definition of antisemitism, as it involves projecting negative stereotypes about Jews onto a specific individual, effectively stigmatizing them through coded associations. Such a comparison is problematic under guideline 2.b, which emphasizes linking Jews to evil and harmful actions. Additionally, guideline 10 could be interpreted in this context by suggesting denial of Jewish rights or positive characterization. Therefore, the tweet is deemed antisemitic as it associates Kim Jong-un with actions that have historical ties to antisemitism."
1424835491099250696,MrBlur,2021-08-09 20:50:27+00:00,0,Jews,@goodblackdude Look at her hug Jews. Weird huh,No,"The tweet in question does not exhibit characteristics of antisemitism according to the IHRA definition. It is a playful and humorous message that refers to ""hugging Jews"" without any overtly hostile or discriminatory intent towards Jewish individuals. There are no elements such as hatred, conspiracy theories about a world Jewish conspiracy, or references to historical atrocities like the Holocaust. The tweet appears to be intended for light-hearted interaction rather than making antisemitic remarks.",Yes,"The tweet employs the term ""Jews"" in a manner that associates Blackness with Jewishness through the act of hugging, potentially reinforcing negative stereotypes. This usage can be seen as stereotyping and thus falls under antisemitism as defined by the JDA, which includes using group labels to imply negative traits without proper context or justification."
1398830581568393220,marissa2pointoh,2021-05-30 02:36:14+00:00,1,Jews,O NEGATIVES O NEGATIVES......\n...............................................\nALL ARE CHILDREN OF THE FATHER \nALL BLOODLINES ARE FROM THE FATHER... O NEGATIVES ARE THE TRUE JEWS NOT A RELIGION. \nBUT WAIT THERR IS MORE..\n👇👇👇👇👇👇👇👇👇😎👇👇,Yes,"The tweet uses the term ""Jews"" spelled as ""JEAWS,"" which is a negative and stereotypical slur. It also refers to negatives as ""Jews not a religion,"" promoting a harmful stereotype targeting a specific group. These actions align with the IHRA's definition of antisemitism, which involves using negative stereotypes or labels toward Jewish individuals.

The tweet employs a discriminative label that can be interpreted as perpetuating antisemitic views by associating negatives with Jews. This constitutes antisemitism under the IHRA's working definition.",Yes,"The tweet employs negative language such as ""O NEGATIVES"" and associates them with ""Jews,"" thereby essentializing a group by equating negatives with Jewish identity. This ties Jews to negativity, aligning with JDA guidelines that associate Jews with evil forces. The use of stereotypes reinforces harmful stereotypes about negatives being Jews, which is antisemitic as per the declaration's definition and guidelines on antisemitism tied to negativity and essentialization."
1431565734195482630,katydid2fury,2021-08-28 10:34:02+00:00,0,Jews,"28 August 1936 | A French Jewish girl, Annette Korenblum, was born in Paris.\n\nShe arrived at #Auschwitz on 23 August 1942 in a transport of 1,000 Jews deported from Drancy. She was among 892 of them murdered in gas chamber after the selection. https://t.co/NCqWryxfM9",No,"The tweet is not considered antisemitic according to the IHRA definition because it does not exhibit any form of hatred toward Jews, nor does it use any language that targets Jews specifically. Instead, it provides factual information about Annette Korenblum's life and her tragic fate in the Holocaust context. There are no elements of negative stereotypes, conspiracy theories, or denial of historical facts related to Jews present in this tweet. It is a straightforward recounting of events without any discriminatory undertones.",No,"The tweet in question is a factual account about a French Jewish girl born on August 28, 1936, and her fate during the Holocaust. It does not exhibit any form of antisemitism as defined by the JDA. The tweet neither denies historical atrocities nor promotes any harmful stereotypes or conspiracies about Jews. It simply provides information about Annette Korenblum's life, making it a non-antisemitic statement."
