TweetID,Username,CreateDate,Biased,Keyword,Text,IHRA_Decision,IHRA_Explanation,JDA_Decision,JDA_Explanation
1124615180820680706,crummy_trader,2019-05-04 10:02:08+00:00,1,Kikes,"Geez, the kikes are everywhere.",Yes,"The tweet uses the term ""kike,"" which is a derogatory and antisemitic slur targeting Jews. According to the IHRA definition, this constitutes rhetorical antisemitism as it dehumanizes Jews collectively. The use of such language directly aligns with examples provided, such as stereotyping and dehumanizing Jews, thus qualifying as antisemitic under their framework.",Yes,"The tweet uses the term ""kikes,"" a derogatory term for Jews, and expresses a negative stereotype about Jewish presence. This aligns with antisemitic tropes of conspiratorial or intrusive behavior, making it antisemitic according to the JDA guidelines."
1111718793678647296,AshTheUncanny01,2019-03-29 19:56:29+00:00,1,ZioNazi,@AliDawow It was pretty obvious the moment he admitted to being a zionazi,Yes,"The tweet uses the term ""zionazi,"" which combines a reference to Zionism with the pejorative ""-nazi"" suffix. This derogatory language targets Jewish identity by associating it with harmful stereotypes and historical atrocities, aligning with IHRA's definition of antisemitism as it dehumanizes Jews and imputes negative characteristics to them collectively. The use of this term can incite hatred or discrimination against Jewish individuals, fitting the criteria outlined in the IHRA guidelines.",Yes,"The tweet uses the term ""zionazi,"" which combines ""Zion"" (related to Jewish identity) with ""Nazi,"" a derogatory term for National Socialists known for atrocities. This term evokes classical antisemitic stereotypes by linking Jews to an evil regime, thus promoting antisemitic ideas through coded language. The reference suggests a negative association with Jewish identity, fitting the framework of antisemitism as defined by the JDA."
1159914692430704642,rantersndiggers,2019-08-09 19:49:47+00:00,1,ZioNazi,"@_samisaviv @TynesideCelt @GnasherJew @heathmints @jeremycorbyn @CST_UK ""Zionazis""? How could any one even THINK such a thing????!!!",Yes,"The tweet uses the term ""Zionazis,"" which combines ""Zionist"" with ""Nazis."" This merges Jewish supporters of Israel with a derogatory reference to the Nazis, a form of dehumanization and stereotyping that aligns with IHRA's definition of antisemitism. It targets Jewish individuals or groups by equating them with one of history's most abhorrent regimes, reflecting antisemitic rhetoric and thus falling under the IHRA criteria.",Yes,"The tweet uses the term ""Zionazis,"" which combines ""Zionism"" with ""Nazis."" This pejorative term equates supporters of Zionism with the Nazis, a group infamous for their atrocities against Jews. According to the JDA, this aligns with antisemitic principles by associating Jewish identity with evil forces (point 2) and holding Jews collectively responsible for Israel's conduct (point 7). The term also falls under coded speech that reinforces harmful stereotypes about Jews. Thus, the tweet promotes prejudice and hostility towards Jewish individuals, adhering to antisemitic definitions."
1173374974410674176,Govt4theP,2019-09-15 23:16:08+00:00,1,ZioNazi,@codepink Since Zionazi #terrorUSt$ ideologues of #USrael have yet to get the U.S. beyond economic war sanctions on� https://t.co/L0A7A3fw02,Yes,"The tweet uses the term ""Zionazi,"" which equates Zionists with Nazis, a severe anti-Semitic reference. It also accuses Jewish individuals of conspiring to harm the U.S. through economic sanctions, echoing conspiracy theories against Jews. This aligns with IHRA's examples of antisemitism, including the use of derogatory language and stereotyping to target Jewish collectives.",Yes,"The tweet employs terms like ""Zionazi,"" which equates Zionism with terrorism, a harmful stereotype linking Jewish identity to violence. It also uses ""USrael"" pejoratively, suggesting Jewish control over another nation. These references align with antisemitic tropes about Jewish influence and conspiracy, as outlined in the JDA's guidelines. The language goes beyond criticism, crossing into territory that stigmatizes Jews collectively by associating them with negative actions and controlling forces. Thus, it qualifies as antisemitic under the defined criteria."
1087044960673824768,tiger4me,2019-01-20 17:51:29+00:00,0,ZioNazi,"A jew hating antisemite tweets: �You�re a ZioNazi, facist, IsraHell apartheid loving, occupying child murdering Zio� https://t.co/4GlNFj59aG",Yes,"The tweet uses several antisemitic terms that target Jewish individuals. ""ZioNazi"" combines derogatory terms for Jews (""Zio"") with a reference to Nazis, which is deeply offensive. The mention of ""fascist,"" ""apartheid loving,"" and ""child murdering Zio"" further dehumanizes and accuses Jewish individuals of being part of a conspiracy or committing atrocities. These statements align with IHRA's definition of antisemitism by targeting Jewish identity with harmful stereotypes and slurs, thus qualifying the tweet as antisemitic.",Yes,"The tweet is antisemitic as it targets Jewish individuals with several elements from the JDA's definition. It uses terms that equate Zionism with Nazism, associates Jews with fascism and apartheid, and accuses them of committing crimes. These elements collectively target Jews for their identity, fitting the criteria of antisemitism by fostering hostility and discrimination against them."
1088630710414524416,agraybee,2019-01-25 02:52:41+00:00,1,ZioNazi,Workshopping list of things to call Kamala Harris:  Cop Jailer Snitch Narc Flerp Halliburton zionazi Woman  Feedback appreciated,Yes,"The tweet uses the term ""zionazi,"" which combines ""Zionist"" with a Nazi-derived slur. This term is antisemitic because it associates Kamala Harris with a conspiracy theory or negative stereotype about Jewish people, thereby inciting hatred or discrimination against them. According to IHRA's definition, such language targets Jewish identity and promotes antisemitic sentiments, making the tweet fit within examples of antisemitism.",Yes,"The tweet contains the term ""zionazi,"" which combines ""Zionist"" with ""Nazi."" This association links Kamala Harris, a public figure, with antisemitic stereotypes by using Nazi imagery. According to the JDA guidelines, antisemitism involves targeting Jews with negative or harmful associations, such as conspiracy theories or racial slurs. The use of ""zionazi"" reflects a coded antisemitic remark that associates Jewish people with an evil regime, violating the principles outlined in the JDA's definition and guidelines on coded speech and classical antisemitism. Therefore, this tweet is deemed antisemitic."
1087043958251900930,Morristhecat79,2019-01-20 17:47:30+00:00,0,ZioNazi,"A jew hating antisemite tweets: �You�re a ZioNazi, facist, IsraHell apartheid loving, occupying child murdering Zio� https://t.co/4GlNFj59aG",Yes,"The tweet contains multiple elements that align with the IHRA definition of antisemitism. It uses dehumanizing language, compares Jews to Nazis, accuses Israel of apartheid, and incites anger through violent imagery. These actions fit the criteria outlined in the IHRA examples, making the tweet antisemitic.",Yes,"The tweet employs multiple antisemitic terms that link Jews to evil forces (ZioNazi, fascist) and accuses them of heinous actions (apartheid, child murder). These terms directly target the individual's Jewish identity, fulfilling the JDA's definition of antisemitism by associating Jews with negative stereotypes and hostility. The use of slurs like ""ZioNazi"" equates Zionism with Nazism, a severe form of discrimination, and incites violence against Jews through accusations of occupation and murder. This collective targeting based on Jewish identity aligns with direct antisemitic behavior as defined by the JDA."
1172822654186917888,CoupeBad,2019-09-14 10:41:25+00:00,1,ZioNazi,"Israel quit their status as a Democracy, instead declared an IDF Nation State 2 pursue Zionazism Genocide, Land Inv� https://t.co/kqsBp0ejyB",Yes,"The tweet contains several elements that align with antisemitic tropes according to the IHRA definition. It compares Zionism to Nazism, uses the term ""Genocide"" in a context that dehumanizes Israel, and implies expansionist aggression against others. These points echo classic antisemitic stereotypes and blame Jewish collectives for negative actions, thus qualifying as antisemitic.",Yes,"The tweet uses the term ""Zionazism,"" a derogatory play on words combining Zionism with Nazism, which equates Israelis with Nazis. It also accuses Israel of genocide and land invasion, tying into antisemitic stereotypes about Jewish conspiracies and expansionist control. This associates Jews (by inference) with negative actions, falling under the JDA's definition of antisemitism by targeting Jews as a group with harmful comparisons and stereotypes."
1088607819979546626,MenshevikM,2019-01-25 01:21:44+00:00,1,ZioNazi,Workshopping list of things to call Kamala Harris:  Cop Jailer Snitch Narc Flerp Halliburton zionazi Woman  Feedback appreciated,Yes,"The tweet contains the term ""zionazi,"" which combines ""Zion"" (a term associated with Jewish identity) with ""Nazi."" This reference to Nazis in relation to Jews is a form of dehumanizing and antisemitic rhetoric, as it draws an offensive comparison that demeans Jewish people. According to the IHRA definition, this aligns with making mendacious or stereotypical allegations about Jews, which falls under antisemitism. Therefore, the tweet meets the criteria for being antisemitic.",Yes,"The tweet uses the term ""zionazi,"" which combines ""Zionist"" with ""-nazi."" This implies a comparison between Zionists (often associated with Jewish people) and Nazis, a form of coded antisemitism. Antisemitism is defined by discrimination against Jews as Jews, including linking them to evil forces or using derogatory terms that dehumanize them. ""Zionazi"" equates Jews with an infamous genocidal regime, falling under the category of indirect or coded antisemitic speech as outlined in the JDA guidelines. This term also collectively holds Jews responsible for Israel's actions, another point from the guidelines, thus violating the definition and criteria set forth by the JDA."
1163954726997843968,CoupeBad,2019-08-20 23:23:26+00:00,1,ZioNazi,"@DNC ZioNazism Policy Supporter HRC: ""If I'm President, We Will Attack Iran..We Would be Able 2Totally Obliterate T� https://t.co/avx78ReXXM",Yes,"The tweet uses the term ""ZioNazism,"" which combines Zionism with Nazism. This equation of a legitimate Jewish political movement with a genocidal regime is a form of dehumanizing and stereotyping, aligning with IHRA's definition of antisemitism. Additionally, the use of threatening language about attacking Iran could be interpreted in a context that involves anti-Semitic stereotypes or ideologies targeting Jewish communities. The overall content meets the criteria for antisemitic rhetoric as defined by IHRA.",No,"The tweet refers to a political stance using the term ""ZioNazism Policy Supporter."" While ""Zio"" can be a derogatory slang referring to Zionists, connected with Jewish communities, it does not explicitly target Jews. The tweet's main content is about military action against Iran and does not directly reference antisemitic tropes or Jews. Therefore, under the JDA definition, this tweet does not qualify as antisemitic."
