TweetID,Username,CreateDate,Biased,Keyword,Text,IHRA_Binary_7B,JDA_Binary_7B,IHRA_Binary_8B,JDA_Binary_8B,text_length,IHRA_FP_7B,IHRA_FP_8B,JDA_FP_7B,JDA_FP_8B,length_bin
1229064832747483137,TunjiGbadamosi,2020-02-16 15:27:45+00:00,0,Israel,"You don't get to label anyone critical of Israel and the weaponisation of antisemitism as ""a crank"" and label the evidenceless claims of former Guido employees as ""something to be taken seriously"" and then be angry RLB took the only stance that wouldn't lead to mass condemnation",1,0,0,1,279,1,0,0,1,241-280
1247715304878284806,TLAVagabond,2020-04-08 02:38:04+00:00,0,Israel,"US Gov Gives 1M Masks To Israel During Shortage, Coronavirus Censorship &amp; Trump ‘Holds’ WHO Funding https://t.co/fj35kitT5C https://t.co/42FY9a2QjG",1,0,0,0,151,1,0,0,0,121-160
1238921841411887104,Ev1HasAnOpinion,2020-03-14 20:15:59+00:00,0,Israel,SPOT THE DIFFERENCE:\n\nBenjamin Netanyahu enforces a 14-day quarantine for all new arrivals to Israel; leftists shout “racist”.\n\nJacinda Ardern announces the exact same thing for New Zealand; leftists praise her as a “hero”.\n\nExcuse my confusion.,1,0,0,0,251,1,0,0,0,241-280
1232823577566531585,RealKen_H,2020-02-27 00:23:40+00:00,0,Israel,"@mbueckert Well, investigating Israel hits a little too close to home, it might draw comparisons to Canada’s treatment of Indigenous people’s. And we can’t have that.",1,0,0,0,166,1,0,0,0,161-200
1213443589436583936,ImtiazMadmood,2020-01-04 12:54:31+00:00,0,Israel,"Egypt, Jordan,  Syria and Palestinians together attacked a very small democratic country Israel which excels in science.\n\nWe all know the result.\n\nNow a single country which is mullah captured and led threaten Israel.\n\nWe already know the result if mullahs try anything.",1,0,0,0,276,1,0,0,0,241-280
1234007024628719616,UshaNirmala,2020-03-01 06:46:16+00:00,0,Israel,"👍 but I also think:\n\n-/increase foreign missions \n-/show our swing towards Israel, US &amp; West. \n-/be a part of NATO operations \n-/revive RAW with do or die type spy ring\n\nAdopt diplomacy +  covert ops +  overt ops + funding to forge our ideas... \n\nCurrently we lack a lot. https://t.co/potFndjUku",1,1,0,0,308,1,0,1,0,281-320
1294265767853056000,ChrisWilliamsMS,2020-08-14 13:33:00+00:00,0,Israel,Trump gets a peace deal done between Israel and the United Arab Emirates and he didn’t even have to send $150 billion to the worlds leading sponsor of terror to make it happen. \n\nMakes you wonder what these other clowns in government have been doing for the past few decades.,1,0,0,1,277,1,0,0,1,241-280
1296195508801691648,jperez0109,2020-08-19 21:21:06+00:00,0,Israel,It’s insane how the news of Israel bombing Gaza barely makes it to the newspapers. It’s so normalized and Palestinian lives are so dehumanized by the West that they don’t even believe it’s relevant news. https://t.co/ZxBkQ6xmPx,1,0,0,0,227,1,0,0,0,201-240
1293943700674863104,Pravin0502,2020-08-13 16:13:13+00:00,0,Israel,"Winners in the Israel-UAE peace deal:\n🇮🇱🕎 Israelis, Jews\n🇦🇪☪️ Arabs, Muslims\n🌍☮️ Entire peace-loving world\n\nLosers:\n🇮🇷☢️ Islamic Republic of Iran\n🏴‍☠️💣 Hamas, Hezbollah, Islamic Jihad, PLO, ISIS\n🇺🇳🗣️ U.N. Human Rights Council which fuels conflict https://t.co/P7QJg7rDcO",1,0,0,0,278,1,0,0,0,241-280
1296480717707382784,brendevit,2020-08-20 16:14:25+00:00,0,Israel,It’s insane how the news of Israel bombing Gaza barely makes it to the newspapers. It’s so normalized and Palestinian lives are so dehumanized by the West that they don’t even believe it’s relevant news. https://t.co/ZxBkQ6xmPx,1,0,0,0,227,1,0,0,0,201-240
1294748884959236096,ZahirAbbasR,2020-08-15 21:32:44+00:00,0,Israel,The United States treats israel more like a state than it does Puerto Rico.,1,0,0,0,75,1,0,0,0,0-80
1293379765303414786,escargotpro_,2020-08-12 02:52:20+00:00,0,Israel,"There will be some other crisis going on at the time where like water raises 3 meters and we lose most of the coast but all the mailers will be like ""are they a friend of Israel?"" and ""why don't they support destroying all public housing for the GrubHub Corp Headquarters?""",1,0,0,1,273,1,0,0,1,241-280
1271119432446812162,NiSoc6655,2020-06-11 16:37:43+00:00,0,Israel,"In April, the UK Supreme Court backed the right to boycott Israel, its racism and oppression of Palestine. Now the BDS campaign has won again, this time in the European Court. The dishonest witch-hunt that crippled the Labour Party is falling apart.\n\nhttps://t.co/9IuJYLZcwy",1,0,0,0,276,1,0,0,0,241-280
1259104153198047238,ANdaihera,2020-05-09 12:53:17+00:00,0,Israel,@mougendi Anointing oil from Israel? For what? I also see there is a benchmarking trip to Rome? Benchmarking for what exactly? 😏😏,1,0,0,0,129,1,0,0,0,121-160
1270113446634434560,akinsonglobal,2020-06-08 22:00:17+00:00,0,Israel,"Additional update: Tips to @intifada highlight Adam Rubenstein's time with AIPAC and his false contention that Israel has ""an amazing record maintaining rights for their minorities"" https://t.co/yOqJJTiRRQ",1,0,0,1,205,1,0,0,1,201-240
1278694647855026176,bellaisntokay,2020-07-02 14:18:55+00:00,0,Israel,ayo FUCK Israel and FUCK America,1,0,0,0,32,1,0,0,0,0-80
